Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
facets software,15,15,260,35,6.38,https://www.facet.net/,0,0,0.00,0.06,40600000,"[100,53,66,53,43,53,66,66,53,53,53,66]",2023-09-02,"Sitelinks, Reviews, Video, Ads top, Video Carousel, People also ask, Related searches","informational, transactional",Organic
hiring developers,16,16,140,56,24.98,https://www.facet.net/,0,0,0.00,0.49,163000000,"[29,12,9,9,6,5,100,9,6,29,29,6]",2023-09-02,"Sitelinks, Reviews, Video, Ads bottom, Jobs search, People also ask, Indented, Related searches",commercial,Organic
facet login,16,13,110,34,0.00,https://app.facet.net/login,0,0,0.00,0,50200000,"[7,7,42,7,42,53,42,65,53,53,53,65]",2023-09-18,"Sitelinks, Reviews, Related searches","navigational, transactional",Organic
developer hiring platform,17,17,20,54,11.22,https://www.facet.net/,0,0,0.00,0.57,56600000,"[14,9,9,14,9,0,9,9,9,14,9,9]",2023-08-26,"Image pack, Sitelinks, Reviews, Ads top, Ads bottom, People also ask, Related searches",commercial,Organic
how to cheat in microsoft teams interview,18,18,40,30,0.00,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0,6020000,"[17,23,64,11,11,29,11,23,11,11,23,23]",2023-08-29,"Sitelinks, Reviews, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
airalo jobs,22,31,30,11,0.00,https://www.facet.net/,0,0,0.00,0,74,"[14,64,14,14,14,14,14,14,14,14,14,14]",2023-09-18,"Image pack, Reviews, Video, Jobs search, Related searches",commercial,Organic
candidate vetting process,23,23,20,39,3.02,https://www.facet.net/edge-talent-vetting-process,0,0,0.00,0.13,4170000,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-08-27,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
edge talent competition,24,24,210,10,0.00,https://www.facet.net/edge-talent,0,0,0.00,0,66800000,"[18,11,15,8,11,28,100,66,66,81,15,35]",2023-09-09,"Image pack, Sitelinks, Reviews, Video, Indented, Related searches",navigational,Organic
transitioning from accrued pto to unlimited pto,24,24,40,31,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.08,7490,"[57,42,28,42,71,100,42,42,42,57,42,42]",2023-09-01,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
facet consulting,25,25,20,7,12.00,https://www.facet.net/,0,0,0.00,0.07,5750000,"[66,66,66,66,66,66,66,66,66,66,66,66]",2023-09-09,"Local pack, Image pack, Sitelinks, Reviews, People also ask, Related searches","commercial, navigational",Organic
w innovation way utah,25,25,40,1,0.00,https://www.facet.net/contact,0,0,0.00,0,10300000,"[18,18,18,100,100,100,18,18,18,18,18,18]",2023-09-09,"Image pack, Sitelinks, Reviews, Image, Address pack, Related searches",informational,Organic
net hire,26,26,40,21,10.67,https://www.facet.net/,0,0,0.00,0.11,505000000,"[5,5,5,5,10,12,17,10,7,17,17,10]",2023-08-31,"Local pack, Image pack, Sitelinks, Reviews, Related searches",navigational,Organic
facet technologies,27,27,260,40,7.16,https://www.facet.net/,0,0,0.00,0.07,35500000,"[82,100,66,82,66,82,66,53,53,66,66,53]",2023-08-30,"Local pack, Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",navigational,Organic
hire net,27,27,210,51,4.03,https://www.facet.net/,0,0,0.00,0.01,688000000,"[32,21,21,17,17,21,17,21,21,26,21,17]",2023-09-11,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches",navigational,Organic
what is facets software,28,28,30,30,12.00,https://www.facet.net/,0,0,0.00,0.13,33700000,"[14,14,14,14,14,14,78,14,14,14,14,14]",2023-08-30,"Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
talent developer,29,29,30,25,0.00,https://www.facet.net/,0,0,0.00,0.05,370000000,"[57,28,42,28,42,57,42,28,28,57,71,28]",2023-08-29,"Knowledge panel, Video, People also ask, Related searches",informational,Organic
get job matches com,29,29,20,19,1.71,https://app.facet.net/jobs,0,0,0.00,0.45,422000000,"[28,28,28,28,28,28,28,28,28,28,28,28]",2023-09-17,"Sitelinks, Reviews, Video, Ads top, Ads bottom, Related searches",commercial,Organic
facetec developer,31,31,70,20,0.00,https://www.facet.net/,0,0,0.00,0,61,"[41,11,41,23,11,11,82,11,23,82,100,11]",2023-09-01,"Knowledge panel, Image pack, Sitelinks, Reviews, People also ask, Related searches",navigational,Organic
ycombinator w23,31,31,30,62,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0,53,"[81,18,18,18,18,18,100,18,18,18,18,18]",2023-08-30,"Image pack, Sitelinks, Video, People also ask, Twitter carousel, Related searches","navigational, transactional",Organic
facet data,32,32,50,39,0.00,https://www.facet.net/,0,0,0.00,0.01,70800000,"[26,11,26,19,26,0,26,42,7,7,7,7]",2023-09-13,"Reviews, People also ask, Related searches","commercial, informational",Organic
disney software engineer interview,33,33,50,21,0.00,https://www.facet.net/,0,0,0.00,0,64,"[82,100,82,41,17,11,17,17,11,11,17,23]",2023-09-05,"Reviews, Video, People also ask, Indented, Related searches",informational,Organic
edge talent competition 2023,33,33,30,13,0.00,https://www.facet.net/edge-talent,0,0,0.00,0,32400000,"[0,9,0,0,0,0,27,100,100,18,18,18]",2023-09-19,"Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
microsoft programming jobs,36,36,20,47,1.00,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.19,86,"[22,22,22,22,22,22,22,22,22,22,22,22]",2023-08-28,"Image pack, Sitelinks, Reviews, Video, Jobs search, People also ask, Related searches",navigational,Organic
netflix unlimited vacation,36,36,40,49,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,16300000,"[19,26,34,11,11,42,11,7,11,7,7,7]",2023-09-11,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
how no vacation,37,37,70,46,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,2880000000,"[35,100,78,100,78,100,100,14,0,0,0,0]",2023-09-08,"Knowledge panel, Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Related searches",informational,Organic
facets inc,37,37,20,20,13.20,https://www.facet.net/,0,0,0.00,0.12,34400000,"[66,66,66,66,66,66,66,66,66,66,66,66]",2023-08-26,"Local pack, Image pack, Sitelinks, Reviews, Ads bottom, People also ask, Related searches",informational,Organic
meet dev,37,37,20,48,10.78,https://www.facet.net/dev-teams,0,0,0.00,0.1,257000000,"[50,0,0,50,50,50,50,50,50,50,50,50]",2023-09-14,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, See results about","commercial, informational",Organic
faceting service,38,38,30,17,0.00,https://www.facet.net/,0,0,0.00,0.16,41900000,"[11,52,11,11,11,11,11,11,11,11,11,11]",2023-08-22,"Image pack, Sitelinks, Video, Image, People also ask, Indented, Related searches",commercial,Organic
facet.com reviews,41,41,90,31,12.52,https://www.facet.net/,0,0,0.00,0.15,32400000,"[9,63,100,100,100]",2023-08-31,"Reviews, Video, Ads bottom, People also ask, Related searches",commercial,Organic
facet management,42,42,20,30,5.29,https://www.facet.net/,0,0,0.00,0.22,37300000,"[18,18,18,18,18,18,18,18,18,18,18,18]",2023-09-14,"Image pack, Sitelinks, Reviews, Video, Ads bottom, People also ask, Related searches","commercial, navigational",Organic
yc interview acceptance rate,43,43,30,29,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0,97,"[11,11,11,11,11,11,11,11,11,100,11,11]",2023-09-12,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
technical hire,43,43,20,47,2.94,https://www.facet.net/,0,0,0.00,0.1,699000000,"[0,100,40,20,60,0,40,0,0,20,40,40]",2023-09-16,"Image pack, Sitelinks, Reviews, People also ask, Related searches","commercial, informational",Organic
dev love,43,43,90,22,0.00,https://www.facet.net/,0,0,0.00,0.01,386000000,"[0,78,7,0,78,78,100,78,64,78,78,50]",2023-09-10,"Image pack, Reviews, Video, Related searches","informational, transactional",Organic
jobs with unlimited pto,44,44,480,42,0.29,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.26,5120000,"[67,67,54,54,44,67,36,54,54,44,44,44]",2023-09-15,"Image pack, Sitelinks, Reviews, Video, Jobs search, People also ask, Related searches",commercial,Organic
software engineering recruiter,44,44,20,7,5.21,https://www.facet.net/,0,0,0.00,0.46,55700000,"[0,50,0,0,75,0,0,75,0,100,75,75]",2023-09-15,"Image pack, Sitelinks, Reviews, Video, Ads top, People also ask, Indented, Related searches",commercial,Organic
facets website,45,45,70,28,0.00,https://www.facet.net/,0,0,0.00,0,116000000,"[0,0,0,53,9,3,0,21,53,43,100,15]",2023-09-06,"Image pack, Sitelinks, Reviews, People also ask, Related searches",informational,Organic
is facet legit,46,46,20,23,12.00,https://www.facet.net/,0,0,0.00,0.14,2230000,"[50,0,100,100,100]",2023-09-14,"Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
hire love,46,46,70,25,0.57,https://www.facet.net/,0,0,0.00,0.14,846000000,"[66,52,100,14,0,42,9,33,4,42,19,52]",2023-09-09,"Image pack, Reviews, Video Carousel, Indented, Related searches",informational,Organic
y combinator interview acceptance rate,47,47,30,32,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0,85,"[18,18,18,18,18,18,18,18,18,100,18,18]",2023-09-12,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
software engineer recruiter,47,47,260,11,5.21,https://www.facet.net/,0,0,0.00,0.46,78200000,"[36,23,15,23,29,29,23,29,29,29,29,29]",2023-09-01,"Image pack, Sitelinks, Ads top, Ads bottom, People also ask, Related searches",commercial,Organic
microsoft software engineer interview,47,47,90,34,3.49,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.05,83,"[43,43,34,28,28,34,21,15,21,28,28,34]",2023-09-08,"Image pack, Sitelinks, Reviews, Video, People also ask, Indented, Related searches",commercial,Organic
technical recruiter remote,48,48,50,15,2.07,https://www.facet.net/,0,0,0.00,0.23,45200000,"[55,77,77,100,33,77,11,55,44,22,55,77]",2023-08-31,"Image pack, Video, Jobs search, Related searches",commercial,Organic
how to prepare for microsoft interview,48,48,20,41,4.65,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.29,32200000,"[50,50,50,50,50,75,50,50,50,50,50,50]",2023-09-04,"Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
hiring developer,49,49,40,55,24.98,https://www.facet.net/,0,0,0.00,0.49,241000000,"[0,29,17,23,23,0,23,5,29,29,52,41]",2023-09-16,"Sitelinks, Reviews, Video, Ads top, Ads bottom, Jobs search, Video Carousel, People also ask, Indented, Related searches",commercial,Organic
is unlimited pto really unlimited,49,49,50,43,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,7590000,"[55,44,100,55,77,100,33,22,44,22,44,33]",2023-08-29,"Reviews, Featured snippet, Video Carousel, People also ask, FAQ, Related searches",informational,Organic
y combintor,49,49,20,82,3.08,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0,88,"[0,0,0,0,0,0,100,0,0,0,0,0]",2023-08-27,"Knowledge panel, Top stories, Sitelinks, Reviews, People also ask, Twitter carousel, Related searches",navigational,Organic
1441 w. innovation way suite 500 lehi ut 84043,49,49,50,11,0.00,https://www.facet.net/contact,0,0,0.00,0.13,66,"[100,41,11,11,82,11,23,11,11,11,11,11]",2023-08-29,"Reviews, People also ask, Address pack, Related searches",informational,Organic
vetting process for employment,50,50,40,28,3.93,https://www.facet.net/edge-talent-vetting-process,0,0,0.00,0.07,5710000,"[5,12,5,7,10,12,10,23,7,5,5,5]",2023-09-04,"Sitelinks, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
developer recruitment,51,51,20,48,13.47,https://www.facet.net/,0,0,0.00,0.41,119000000,"[40,40,40,40,40,40,40,40,40,60,60,40]",2023-09-13,"Local pack, Sitelinks, Reviews, Video, Jobs search, People also ask, Indented, Related searches",commercial,Organic
vetted engineers,51,51,30,9,0.00,https://www.facet.net/,0,0,0.00,0,13100000,"[60,100,100,100,80,20,40,40,20,40,40,60]",2023-08-30,"Image pack, Reviews, People also ask, Indented, Related searches",commercial,Organic
technical recruiting jobs,51,51,20,22,0.84,https://www.facet.net/,0,0,0.00,0.14,250000000,"[25,25,25,75,25,100,50,50,25,25,50,25]",2023-08-28,"Reviews, Video, Jobs search, People also ask, Indented, Related searches",commercial,Organic
faceting database,52,52,40,37,0.00,https://www.facet.net/,0,0,0.00,0.01,15000000,"[0,0,63,45,63,0,63,100,0,18,18,18]",2023-08-29,"Image pack, Sitelinks, People also ask, Indented, Related searches",informational,Organic
y combinator interview,52,52,90,33,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0.02,633000,"[7,7,42,53,19,15,19,19,65,100,19,26]",2023-09-12,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches",informational,Organic
vetting candidates,52,52,90,41,6.77,https://www.facet.net/edge-talent-vetting-process,0,0,0.00,0.02,5540000,"[17,23,23,82,41,52,64,82,41,100,29,52]",2023-09-03,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
y combinator blog,54,54,90,39,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0,3260000,"[41,52,41,41,41,29,64,100,64,52,41,41]",2023-08-22,"Image pack, Sitelinks, Reviews, Twitter carousel, Related searches",navigational,Organic
recruiter net,54,54,20,30,4.71,https://www.facet.net/,0,0,0.00,0.15,59100000,"[0,20,0,40,80,100,40,80,60,40,80,40]",2023-08-31,"Sitelinks, Reviews, Related searches",navigational,Organic
not just dev,55,55,40,38,0.00,https://www.facet.net/,0,0,0.00,0,432000000,"[81,81,36,36,100,18,18,18,18,18,18,18]",2023-09-07,"Image pack, Sitelinks, Indented, Related searches","commercial, informational",Organic
elastic tech,57,57,20,45,6.75,https://www.facet.net/elastic-recruit,0,0,0.00,0.1,64200000,"[50,50,50,50,50,50,50,50,50,75,50,50]",2023-08-26,"Image pack, Sitelinks, Reviews, Image, Ads bottom, People also ask, Related searches",navigational,Organic
why is unlimited pto bad,59,59,70,35,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.01,1920000,"[42,23,33,42,42,80,33,33,33,9,9,9]",2023-08-25,"Image pack, Sitelinks, Featured snippet, Video Carousel, People also ask, FAQ, Indented, Related searches",informational,Organic
no pto policy,60,60,30,41,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.04,56900000,"[57,57,42,42,28,28,28,42,28,28,28,28]",2023-08-30,"Image pack, Reviews, People also ask, FAQ, Related searches",informational,Organic
jobs that offer unlimited pto,60,60,30,43,0.47,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.38,5420000,"[33,55,33,22,33,22,33,22,33,33,33,44]",2023-08-23,"Reviews, People also ask, FAQ, Related searches",commercial,Organic
opportunistic hire,60,60,30,1,0.00,https://www.facet.net/posts/how-to-prepare-for-the-impending-developer-hiring-frenzy,0,0,0.00,0.01,964000,"[28,21,28,21,14,21,21,28,21,21,21,21]",2023-08-30,"Video, People also ask, Indented, Related searches",informational,Organic
unlimited vacation netflix,61,61,40,44,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0,5870000,"[35,35,64,14,14,78,14,14,14,14,14,14]",2023-09-02,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches",informational,Organic
website facets,61,61,260,36,0.00,https://www.facet.net/,0,0,0.00,0,99100000,"[0,7,10,54,23,36,36,44,67,67,19,19]",2023-08-27,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
interviewing at microsoft,61,61,110,48,4.38,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.08,269000000,"[21,100,81,0,12,0,34,0,34,6,53,65]",2023-09-13,"Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
yc interview,62,62,110,19,2.99,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0.03,8250000,"[7,28,35,53,17,17,10,10,53,100,23,23]",2023-09-10,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
technical recruiter jobs near me,63,63,20,18,2.20,https://www.facet.net/,0,0,0.00,0.18,132000000,"[14,14,14,14,14,14,14,14,14,35,14,14]",2023-09-06,"Reviews, Jobs search, Related searches",commercial,Organic
dev for hire,63,63,20,58,22.01,https://www.facet.net/,0,0,0.00,0.38,43800000,"[18,18,18,18,18,18,18,18,18,18,18,18]",2023-09-09,"Sitelinks, Reviews, Video, Ads bottom, People also ask, Related searches",commercial,Organic
unlimited vacation,64,64,1300,61,1.25,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.02,143000000,"[66,54,54,54,41,100,54,66,54,41,66,54]",2023-09-14,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
hire developer,64,64,320,61,24.98,https://www.facet.net/,0,0,0.00,0.49,167000000,"[66,66,66,44,35,35,44,54,44,54,44,66]",2023-09-14,"Sitelinks, Reviews, Ads top, Video Carousel, People also ask, Related searches",commercial,Organic
how to prepare for microsoft software engineer interview,65,65,20,38,6.44,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.3,94,"[18,18,18,18,18,18,18,18,18,18,18,18]",2023-09-15,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches",informational,Organic
successful yc applications,65,65,40,28,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0.01,27000000,"[9,100,9,9,9,9,9,9,9,9,9,14]",2023-09-01,"Reviews, Video, Related searches",informational,Organic
unlimited vacations,65,65,260,56,1.25,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.02,17100000,"[15,44,44,23,29,29,29,29,29,29,36,36]",2023-09-11,"Reviews, Video, People also ask, Related searches",navigational,Organic
companies with best vacation policies,66,66,70,48,0.00,https://www.facet.net/posts/why-we-ditched-our-unlimited-vacation-plan,0,0,0.00,0.02,454000000,"[78,14,35,28,35,64,35,64,35,50,78,64]",2023-09-02,"Image pack, Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
facet wealth app,66,66,20,16,10.39,https://app.facet.net/,0,0,0.00,0.35,1220000,"[14,14,14,14,14,14,14,21,14,14,14,21]",2023-09-13,"Reviews, Video, Ads top, People also ask, Related searches",commercial,Organic
job interview on microsoft teams,67,67,30,26,0.00,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.01,32000000,"[14,9,19,9,9,14,9,9,14,9,14,9]",2023-09-15,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
what is vetting process,67,67,320,36,0.00,https://www.facet.net/edge-talent-vetting-process,0,0,0.00,0,173000000,"[20,20,20,20,24,36,24,24,24,24,20,36]",2023-09-14,"Sitelinks, Reviews, Video, Featured snippet, People also ask, FAQ, Related searches",informational,Organic
job matches,67,67,70,53,0.80,https://app.facet.net/jobs,0,0,0.00,0.2,388000000,"[21,21,21,28,28,28,21,21,15,15,21,21]",2023-08-30,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
y combinator application example,68,68,90,41,0.00,https://www.facet.net/posts/why-i-turned-down-my-y-combinator-interview,0,0,0.00,0,2650000,"[34,53,0,19,19,19,26,65,100,26,15,26]",2023-09-07,"Sitelinks, Reviews, People also ask, Related searches",informational,Organic
hire .net,69,69,30,16,4.03,https://www.facet.net/,0,0,0.00,0.01,12300000,"[0,64,28,14,14,0,14,0,0,100,0,21]",2023-08-28,"Reviews, Video, People also ask, Indented",navigational,Organic
microsoft interviews,69,69,20,52,4.38,https://www.facet.net/posts/i-cheated-on-my-microsoft-interview,0,0,0.00,0.08,156000000,"[0,45,36,27,9,63,9,0,0,0,0,9]",2023-09-16,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches",informational,Organic
facet fitness,70,70,40,51,0.00,https://www.facet.net/,0,0,0.00,0,14700000,"[64,78,14,28,14,100,14,14,14,14,14,14]",2023-08-30,"Local pack, Image pack, Sitelinks, Reviews, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
facets.com,70,70,70,31,8.96,https://www.facet.net/,0,0,0.00,0.3,163000000,"[0,0,2,14,0,4,10,100,6,18,2,35]",2023-08-31,"Image pack, Sitelinks, Reviews, People also ask, Indented",commercial,Organic
tech recruiting jobs,70,70,30,24,0.77,https://www.facet.net/,0,0,0.00,0.15,143000000,"[40,60,60,80,60,20,60,40,40,40,60,60]",2023-09-04,"Image pack, Video, Jobs search, People also ask, Indented, Related searches",commercial,Organic
